Descriptions,Specifications,Cartype,original_price,original_price,original_price,Discounts
2017 Honda WR-V,"37,871 km1st OwnerPetrol",1.2 i-VTEC VX MT Manual,"₹621,535","₹621,536","₹621,537"," ₹102,264 OFF"
2017 Jeep Compass,"50,853 km1st OwnerDiesel",2.0 SPORT Manual,"₹1,067,399","₹1,067,400","₹1,067,401"," ₹5,000 OFF"
2010 Maruti Alto K10,"44,407 km3rd OwnerPetrol",LXI Manual,"₹184,499","₹184,500","₹184,501",
2017 Maruti Vitara Brezza,"33,041 km1st OwnerDiesel",ZDI Manual,"₹815,799","₹815,800","₹815,801",
2014 Honda Amaze,"67,170 km2nd OwnerPetrol",1.2 SMT I VTEC Manual,"₹344,899","₹344,900","₹344,901",
2017 Maruti Wagon R 1.0,"45,696 km1st OwnerPetrol",VXI Manual,"₹396,799","₹396,800","₹396,801",
2019 Maruti Vitara Brezza,"14,616 km2nd OwnerDiesel",ZDI AMT Automatic,"₹932,999","₹932,1000","₹932,1001",
2018 Maruti Celerio,"56,697 km1st OwnerPetrol + CNG",VXI CNG OPT Manual,"₹510,099","₹510,100","₹510,101",
2013 Maruti Swift,"36,088 km1st OwnerPetrol",VXI Manual,"₹402,899","₹402,900","₹402,901",
2017 Honda BR-V,"37,543 km1st OwnerPetrol",1.5 i-VTEC S Manual,"₹697,099","₹697,100","₹697,101",
2016 Hyundai i20 Active,"47,343 km1st OwnerPetrol",1.2 Manual,"₹586,799","₹586,800","₹586,801",
2015 Hyundai i20 Active,"77,032 km1st OwnerDiesel",1.4 SX Manual,"₹599,399","₹599,400","₹599,401",
2015 Hyundai Creta,"41,506 km1st OwnerDiesel",1.6 SX (O) CRDI Manual,"₹883,299","₹883,300","₹883,301",
2015 Hyundai i20 Active,"25,348 km2nd OwnerPetrol",1.2 S Manual,"₹532,299","₹532,300","₹532,301",
2019 MG HECTOR,"2,978 km1st OwnerPetrol",SHARP DCT PETROL Automatic,"₹1,812,199","₹1,812,200","₹1,812,201",
2016 Hyundai Creta,"48,182 km1st OwnerPetrol",1.6 E + VTVT Manual,"₹807,399","₹807,400","₹807,401",
2018 Tata Hexa,"66,457 km1st OwnerDiesel",Varicor 320 XE Manual,"₹967,599","₹967,600","₹967,601",
2010 Maruti Swift Dzire,"80,822 km2nd OwnerDiesel",VDI BS IV Manual,"₹306,199","₹306,200","₹306,201",
2017 Maruti Vitara Brezza,"23,582 km1st OwnerDiesel",ZDI PLUS DUAL TONE Manual,"₹849,299","₹849,300","₹849,301",
2015 Ford Figo Aspire,"64,669 km1st OwnerDiesel",1.5 TREND DIESEL Manual,"₹478,199","₹478,200","₹478,201",
2017 Maruti Vitara Brezza,"42,903 km1st OwnerDiesel",VDI Manual,"₹768,599","₹768,600","₹768,601",
2017 Honda WR-V,"25,508 km3rd OwnerPetrol",1.2 i-VTEC S MT Manual,"₹568,099","₹568,100","₹568,101",
2017 Maruti S Cross,"60,754 km1st OwnerDiesel",ZETA SHVS Manual,"₹807,099","₹807,100","₹807,101",
2017 Volkswagen Vento,"20,491 km1st OwnerPetrol",HIGHLINE 1.2 TSI AT Manual,"₹840,699","₹840,700","₹840,701",
2012 Hyundai i20,"89,482 km1st OwnerPetrol",SPORTZ 1.2 VTVT Manual,"₹357,999","₹357,1000","₹357,1001",
2018 Honda WR-V,"29,618 km1st OwnerPetrol",1.2 i-VTEC VX MT Manual,"₹790,199","₹790,200","₹790,201",
2019 Toyota Glanza,"2,407 km1st OwnerPetrol",V CVT Automatic,"₹860,699","₹860,700","₹860,701",
2014 Honda Amaze,"80,958 km1st OwnerDiesel",1.5 SMT I DTEC Manual,"₹409,899","₹409,900","₹409,901",
2016 Maruti Baleno,"96,899 km1st OwnerDiesel",DELTA DDIS 190 Manual,"₹549,499","₹549,500","₹549,501",
